time,vt,vts,a,ac_x,ac_y,ac_z,ag_x,ag_y,ag_z,ma_x,ma_y,ma_z,tpt,distance,vt_,s_,diff_s
2021/12/16 1:15,26,7.222222222,-0.555555556,-0.544792329,0.563584164,-9.732548055,0.005603836,0.003223863,0.010907164,233.0276406,-18.28218127,88.62944127,32.82438281,277.2222222,7.193368632,286.5963543,0.967291517
2021/12/16 1:15,24,6.666666667,-0.555555555,-0.559529521,0.528847042,-9.71368793,0.003493901,0.002803352,0.01609407,299.6368232,-168.0540304,125.2786676,32.82323824,283.8888889,6.633839111,293.2301934,0.968143443
2021/12/16 1:15,22,6.111111111,-0.555555556,-0.57656893,0.47787231,-9.723800324,0.001679732,0.002832099,0.017278141,335.3529508,-168.5196423,100.4343064,32.82986525,290,6.057270181,299.2874636,0.968968084
2021/12/16 1:15,20,5.555555556,-0.555555555,-0.606051301,0.390390836,-9.728131274,-0.000326822,0.003057219,0.016394014,395.8359153,-187.2907851,40.97901481,32.83941945,295.5555556,5.45121888,304.7386824,0.969865569
2021/12/16 1:15,18,5,-0.555555556,-0.605851813,0.384804963,-9.727913125,-0.000557038,0.00315565,0.01439285,384.0727524,-100.912523,-89.07032063,32.83296724,300.5555556,4.845367067,309.5840495,0.970836696
2021/12/16 1:15,16,4.444444444,-0.555555556,-0.608446985,0.373462309,-9.731318912,0.000162132,0.003243088,0.012360426,220.0455201,3.303871721,-129.9584502,32.83353578,305,4.236920082,313.8209696,0.971891714
2021/12/16 1:15,14,3.888888889,-0.555555555,-0.605933945,0.354300425,-9.724901904,-0.000602863,0.003338205,0.010250425,154.8933458,-179.0760023,-149.6198009,32.83908333,308.8888889,3.630986137,317.4519557,0.973025629
2021/12/16 1:15,11,3.055555556,-0.833333333,-0.598100014,0.341221971,-9.731196829,-0.0003385,0.003357129,0.008294371,258.6400279,-158.0871974,-131.181663,32.85023307,311.9444444,3.032886123,320.4848418,0.973351634
2021/12/16 1:15,9,2.5,-0.555555556,-0.57336616,0.31900528,-9.720684173,-0.000901893,0.0034006,0.006309307,372.9448551,4.28918124,-34.11607072,32.84589712,314.4444444,2.459519963,322.9443618,0.973679932
2021/12/16 1:15,7,1.944444444,-0.555555556,-0.568094029,0.318222485,-9.724616897,-0.000305235,0.003566897,0.004587662,395.5155649,2.112924279,-4.590154926,32.84626407,316.3888889,1.891425934,324.8357877,0.973996403
