time,ac_x,ac_y,ac_z,ag_x,ag_y,ag_z,ma_x,ma_y,ma_z,tpt,speed_r,distance_r,ac_r,diff_ac,diff_ax,diff_ay,diff_az,diff_gx,diff_gy,diff_gz
20:51:53,0.913598125,0.787489141,-9.643572359,0.000760891,-0.000981953,-0.001470203,100.3432613,2194.938584,-349.4029302,31.04648064,14.72222222,106.9444444,1.111111111,-0.555555555,-0.051517176,-0.068504641,-0.020924987,0.000943558,-0.000603739,0.001162998
20:51:54,0.862080949,0.7189845,-9.664497346,0.001704449,-0.001585692,-0.000307205,43.92325906,2191.600273,-349.8108293,31.06642927,15.27777778,122.2222222,0.555555556,-0.555555556,-0.355450916,0.055701867,-0.024713604,0.002228751,0.001020759,-0.000868112
20:51:55,0.506630033,0.774686367,-9.68921095,0.0039332,-0.000564933,-0.001175317,59.68695597,2146.165014,-260.6485624,31.0910556,15.27777778,137.5,0,0.277777778,-0.385951836,0.005277289,-0.012633804,-0.0039795,0.003363671,0.000932891
20:51:56,0.120678197,0.779963656,-9.701844754,-4.63E-05,0.002798738,-0.000242426,46.562205,1586.323893,-116.9761045,31.11056275,15.55555556,153.0555556,0.277777778,-0.277777778,-0.218974731,-0.0509933,-0.008261958,0.001946642,-7.4985E-05,-0.000331834
20:51:57,-0.098296534,0.728970356,-9.710106712,0.001900342,0.002723753,-0.00057426,62.77300204,996.447743,2.434454781,31.12686607,15.55555556,168.6111111,0,0.277777778,-0.138307754,0.016053583,0.013766621,0.001805431,0.000197656,-0.000261361
20:51:58,-0.236604288,0.745023939,-9.696340091,0.003705773,0.002921409,-0.000835621,54.03173689,587.3499723,91.77107192,31.13894841,15.83333333,184.4444444,0.277777778,-0.277777778,0.022955937,0.034198102,-0.001520612,-0.001656205,-0.000043801,0.000478824
20:51:59,-0.213648351,0.779222041,-9.697860703,0.002049568,0.002877608,-0.000356797,56.34028809,537.5670405,6.661418662,31.15999835,15.83333333,200.2777778,0,0,0.030833385,-0.050650482,0.00236211,-0.000986432,-0.00002154,-0.000052847
20:52:00,-0.182814966,0.728571559,-9.695498593,0.001063136,0.002856068,-0.000409644,53.86149644,508.5068343,36.37280308,31.17906954,15.83333333,216.1111111,0,0.277777778,-0.080792274,-0.046312912,0.586786193,0.001098331,-0.000170581,-0.000446423
20:52:01,-0.26360724,0.682258647,-9.1087124,0.002161467,0.002685487,-0.000856067,51.17624832,341.4040811,121.5087443,29.78904522,16.11111111,232.2222222,0.277777778,0,0.091016966,0.081698788,-0.591142729,0.000702114,5.8061E-05,0.000939567
20:52:02,-0.172590274,0.763957435,-9.699855129,0.002863581,0.002743548,8.35E-05,61.91103463,274.8318617,102.1868793,31.20559298,16.38888889,248.6111111,0.277777778,0,0.113237584,0.027613748,-0.004789688,-0.001824468,-0.00002059,-0.000668599
20:52:03,-0.05935269,0.791571183,-9.704644817,0.001039113,0.002722958,-0.000585099,62.73550101,621.2787957,59.15587862,31.22317359,16.66666667,265.2777778,0.277777778,-0.277777778,0.033495367,-0.047303248,-0.000513441,-0.002082936,0.000255348,-0.000167611
20:52:04,-0.025857323,0.744267935,-9.705158258,-0.001043823,0.002978306,-0.00075271,45.70676473,758.2119515,5.519709597,31.23580645,16.66666667,281.9444444,0,0,-0.070096534,-0.009062024,-0.063783519,0.003472787,0.00273373,0.000603942
20:52:05,-0.095953857,0.735205911,-9.768941777,0.002428964,0.005712036,-0.000148768,58.68346202,548.2609209,45.98093948,31.24303586,16.66666667,298.6111111,0,0,-0.080661261,0.007724471,0.007866593,0.001518448,0.000585508,-0.000032085
20:52:06,-0.176615118,0.742930382,-9.761075184,0.003947412,0.006297544,-0.000180853,53.76791346,397.7673207,101.608946,31.25369107,16.66666667,315.2777778,0,0,-0.158372375,0.050035688,0.033920846,-0.00224682,-0.000146262,-0.000049119
20:52:07,-0.334987493,0.79296607,-9.727154338,0.001700592,0.006151282,-0.000229972,72.23317887,112.2145019,178.8817045,31.26951749,16.66666667,331.9444444,0,-0.277777778,0.039355493,-0.058757234,-0.041415936,-0.006762222,0.000130595,-0.000414823
20:52:08,-0.295632,0.734208836,-9.768570274,-0.00506163,0.006281877,-0.000644795,42.32188392,74.52031745,282.4875296,31.2784786,16.38888889,348.3333333,-0.277777778,0.555555556,0.084105764,0.021254261,0.026744496,-0.001876231,0.00016129,-0.002850705
20:52:09,-0.211526236,0.755463097,-9.741825778,-0.006937861,0.006443167,-0.0034955,80.50551851,-107.6381041,344.6681756,31.29400589,16.66666667,365,0.277777778,-0.277777778,0.059999721,0.092292327,-0.02441407,0.006225194,0.00032903,-0.001981788
