x,y
1.388888889,1.889893648
1.666666667,2.943345104
3.333333333,4.011822882
4.444444444,5.088445402
5.555555556,6.165315029
6.666666667,7.242462783
7.777777778,8.32443863
8.888888889,9.382435038
10,10.45575538
11.38888889,11.54279852
12.5,12.64015652
13.61111111,13.64983321
14.44444444,14.28625942
15,14.58538489
15.27777778,14.67253212
15.55555556,14.72540515
15.55555556,14.80217254
15.83333333,14.87535843
15.83333333,14.80924863
15.83333333,14.84664676
16.11111111,15.106718
16.66666667,15.59356172
17.22222222,15.93787254
18.05555556,16.19289368
18.61111111,16.32349872
18.88888889,16.31106093
19.16666667,16.15307392
19.44444444,15.93208689
19.44444444,15.61017309
19.44444444,15.36397818
19.44444444,15.11549982
19.72222222,14.80418146
19.44444444,14.47607983
19.44444444,14.22897881
19.44444444,14.0628784
19.44444444,13.93640604
19.44444444,13.8432457
19.44444444,13.7121237
19.44444444,13.6116897
19.44444444,13.5032847
19.44444444,13.38000908
19.16666667,13.24186283
19.16666667,13.17131983
19.16666667,12.96796083
19.16666667,12.80216483
18.88888889,12.64991958
18.88888889,12.51122508
18.61111111,12.36685158
18.61111111,12.27266158
18.33333333,12.18388508
18.33333333,12.10919058
18.05555556,12.02343658
18.05555556,11.95853991
17.77777778,12.10460758
17.77777778,12.39719133
18.05555556,12.65574883
18.33333333,12.90374483
18.33333333,13.07910583
18.61111111,13.17429216
18.61111111,13.23098541
18.61111111,13.30576304
18.61111111,13.39862504
18.61111111,13.50675084
18.33333333,13.38220484
18.05555556,13.20293744
17.77777778,13.03097396
17.22222222,12.75052962
16.66666667,12.53601162
16.38888889,12.27414442
15.83333333,11.9034326
15.27777778,11.43851381
14.44444444,10.91627799
13.61111111,10.42843576
13.05555556,9.957174992
12.22222222,9.503323389
11.38888889,9.071119919
11.11111111,8.63077495
10.27777778,8.198283509
9.722222222,7.753703971
9.166666667,7.280053809
8.333333333,6.792162796
7.777777778,6.270359255
7.222222222,5.692651781
6.666666667,5.063988867
5.833333333,4.407915441
5.277777778,3.752056619
4.444444444,3.079189133
4.166666667,2.422497442
3.333333333,1.785870109
2.777777778,1.160107704
2.222222222,0.546331339
1.388888889,0.015125014
0.833333333,0.202004591
0.833333333,0.411951714
0.555555556,0.63528835
0.277777778,0.739539336
0.277777778,1.000697994
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.277777778,0.457004595
0.833333333,1.102697272
1.666666667,2.143517508
2.5,3.205966769
3.611111111,4.283162201
4.722222222,5.368767431
5.833333333,6.453297317
6.944444444,7.533847111
7.777777778,8.609107021
8.888888889,9.661953318
10,10.73077711
11.11111111,11.79412571
12.22222222,12.85786742
13.33333333,13.85598219
14.16666667,14.63809467
15,15.20017277
15.27777778,15.54101654
15.83333333,15.73113854
16.11111111,15.71380674
16.11111111,15.64139842
15.83333333,15.5727136
15.83333333,15.66798525
16.11111111,16.15373632
16.66666667,16.68110988
16.94444444,17.1556004
17.5,17.57720787
17.77777778,17.98436155
18.33333333,18.3650794
18.61111111,18.67957209
19.16666667,18.90749694
19.44444444,18.97402736
19.44444444,18.93550216
19.44444444,18.8264057
19.72222222,18.57012755
19.44444444,18.25291611
19.44444444,18.08592475
19.44444444,17.94262596
19.72222222,17.77310299
19.72222222,17.46597467
19.44444444,17.12759955
19.44444444,16.92223575
19.44444444,16.73358943
19.44444444,16.56166057
19.44444444,16.41298488
19.44444444,16.29631013
19.44444444,16.20562128
19.44444444,16.11814013
19.44444444,16.02256957
19.44444444,15.93110878
19.44444444,15.83733809
19.44444444,15.743091
19.44444444,15.65317304
19.44444444,15.55892752
19.44444444,15.47231469
19.44444444,15.37835017
19.16666667,15.29116653
